senid,sentence,intent,sampling_strategy,confidence
881115,Vâng Hi vọng chất lượng ưng ah,agree,,0
881116,Vâng mình bảo mẹ rồi,agree,,0
881117,vâng th thì e yên tâm rồi ạ,agree,,0
881118,Dạ vâng okay bạn,agree,,0
881119,Vâng có gì mình ib nha,agree,,0
881120,dung roi b nhe,agree,,0
881121,Vâng mh xin lỗi nhé,agree,,0
881122,Vâng tks ad,agree,,0
881123,Da vâng ạ ,agree,,0
881124,Hjx uk,agree,,0
881125,Vâng nhận qua viettel,agree,,0
881126,Đúng rồi nha bạn ơi,agree,,0
881127,Vâng e cũng k cần luôn,agree,,0
881128,à vâng a,agree,,0
881129,Vâng ok ạ ,agree,,0
881130,Ak dạ vâng,agree,,0
881131,Đứng roi bạn,agree,,0
881132,Vâng ok bank,agree,,0
881133,vâng hic shop đổi giúp e nhé,agree,,0
881134,Vâng để khi nào t quay lại,agree,,0
881135,Uh đúng rồi,agree,,0
881136,Ok shop đúng rồi ạ,agree,,0
881137,dạ đúng roi,agree,,0
881138,Vâng đúng màu e chọn,agree,,0
881139,Ag uh,agree,,0
881140,À uh nhờ ok sh,agree,,0
881141,Vâng cậu Làm chờ cả tuần nay,agree,,0
881142,Vâng e hiểu mat,agree,,0
881143,Đúng rồi á,agree,,0
881144,Dạ đúng roi,agree,,0
881145,Đúng rồi bạn,agree,,0
881146,Đúng rôid bạn,agree,,0
881147,Vâng th hoá ra có nhiều loại,agree,,0
881148,Vâng Để m đọc kỹ lại ,agree,,0
881149,vâng oke c có gì e sẽ theo dõi ạ,agree,,0
881150,Dạ vâng Hihi,agree,,0
881151,Đúng rồi bạn mình lấy địa chỉ cơ quan,agree,,0
881152,Vâng nhanh giúp em để em về với,agree,,0
881153,Vâng ạ,agree,,0
881154,À ừ ok b,agree,,0
881155,đúng roi em,agree,,0
881156,Da vâng ạ,agree,,0
881157,dung roi sh,agree,,0
881158,Vâng bạn ,agree,,0
881159,Vâng ok shop nhé,agree,,0
881160,ừ c,agree,,0
881161,Vâng Ktra kĩ r ak,agree,,0
881162,Dạ ukj c hjhj,agree,,0
881163,Da dung roi sh,agree,,0
881164,Vâng th để e lấy qua shopee vậy ạ,agree,,0
881165,Ôi uh D,agree,,0
881166,Đung roi a,agree,,0
881167,vâng ạ e đang nghiên cứu,agree,,0
881168,Đúng rồi mình dùng bidv,agree,,0
881169,Vâng a khổ thân shop quá khổ thân cả e,agree,,0
881170,Đúng rồi vì ban ngày mình đi làm,agree,,0
881171,Dạ vâng bạn,agree,,0
