senid,sentence
725863,N u đc cho e đặt cái máy học ti ng anh thông minh
725864,Mình ở hạ long ạ
725865,Shop ơi e đặt bình đun nc giữ nhiệt qua shoope mà chưa thấy shop chuyển
725866,Nhanh giúp e đc ko e đag cần
725867,Mình thấy đơn hàng trên shoppe hủy
725868,Vậy mình hủy đơn luôn nhé
725869,Vậy n u bạn chưa giao thì cho mình hủy
725870,Shop cho mình đặt sp này
725871,Ban cho mình hỏi thêm sản phẩm có cắm điện trực ti p đc ko hay phải cắm qua cục sạc
725872,Ok cho mình stk nhé
725873,Địa chỉ giao hàng của mình là Nguyễn Thu Hà số nhà 46 tổ 5 khu 7 Bãi Cháy Hạ Long Quảng Ninh sdt 0977977186
725874,Shop tư vấn cho mình loại ba lo bỉm sữa với con mình ko ti mẹ mỗi lần ra ngoài rất lích kích phải mang sữa rồi nước đi pha có loại nào tiện dùng ko ạ k t hợp giữ nhiệt càng tốt ạ
725875,Máy chạy bằng pin ạ
725876,Cho mình xin giá cả máy tạo ẩm với
725877,Cho mình 1 balo kidsapro nhé
725878,Ship mình Nguyễn Thu Hà số nhà 46 tổ 5 khu 7 Bãi Cháy Hạ Long Quảng Ninh sdt 0977977186
725879,Của mình bao nhiêu tiền để mình ck ah
725880,Shop cho mình đăt 1 nhiệt ẩm k nhé
725881,Vẫn tk cũ ah mình chuyển 390k đúng ko ah
725882,Bên mình còn máy học ti ng anh winfun ko ah
725883,Voi ú óa giá bn ạ
725884,M mún mua 1 xe đẩy kiêm xe đạp dream với 1 g đa năg mastela b gửi b n mĩ đình về phú thọ cho m đc ko
725885,M cho bạn thôg tin xe b gửi xe đó giúp m vì xe về đ n nhà m 
725886,Xe đẩy m lấy xanh
725887,B gửi m màu của xe mastela
725888,Clip của bạn có mỗi màu hi
725889,Cho m cái hình ở giữa nha
725890,Cộg với xe đẩy kiêm đạp màu xanh nhé
725891,Tổg của m là bn b 
725892,1250 là xe ăn đó ah b 
725893,Để m bắn tiền xog m bảo b cách chuyển nhé
725894,Cũi này bn b 
725895,Trẻ 1 tuổi vịn đứg có bị đổ ko
725896,Oki de m xem mua ko m chuyển tiền lun
725897,Gửi m màu cũi với
725898,M vừa tìm lại chả thấy dau
725899,Cho m đặt cái xe đẩy màu xanh với cũi màu xah nha
725900,Huỷ g ăn b nha
725901,H m chuyển khoản
725902,Oki m chuyển bjo lun
725903,Của m 2 thứ đó bn b 
725904,M vừa xem lại
725905,Xe đây là 949
725906,Cũi la 749 mà
725907,Xe đẩy kiêm đạp
725908,M lấy 2 thứ deu màu xanh nhé
725909,M chuyển 1698 ah
725910,Thêm 30k ship nữa đúg ko
725911,Ko b ak
725912,B ra b n mĩ đình gửi đồ giúp m nhé
725913,Gửi xe qen nhà m
725914,Ở trên m bảo các bạn ok r mà
725915,M lấy xe này với cũi này đều màu xah nhé
725916,Oki h m ck 
725917,Số nhà xe 10 chuy n mỗi chuy n 1 số m ko có
725918,B gửi đồ cho m chưa ak
725919,Ok b xog nhớ nhắn giúp m sdt xe nha 
725920,Ah b oi m đc tặg 100 bóg ko
725921,Oki xe vừa gọi m r Thaks b nhé 
725922,M lại lấy thêm g ăn
725923,H b gửi trog hnay giúp m ko
725924,M lấy cái ở giữa
725925,H m chuyển tiền cho b nhé
725926,B gi đc gửi giúp m Mai phương thị xã phú thọ 0981919828 B ra b n mĩ đình gửi xe Thuỷ Chính màu tím hồng giúp m nhé Hầu như giờ nào cũg có sẵn xe trong b n xog lấy giúp m sdt xe đó nhé Đừg gửi xe khác nhé m mua đồ nhìu r họ gửi xe khác m phải đi mấy chục cây mới lấy đc vì nhữg xe đó gi tx phú thọ nhưg lại ko vào tx Lưu giúp m nhé 
